RegionName,State,2015,2016,2017,2018,2019
Caddo County, OK,971154,918651,1002288,1039962,1081536
Caddo Parish, LA,11855304,11164151,11200867,11957577,12175854
Calaveras County, CA,1985488,2073680,2158101,2249583,2347168
Calcasieu Parish, LA,8671927,8920924,9348911,9868336,10103465
Caldwell County, NC,2599169,2662430,2802894,2902314,3008434
Caldwell Parish, LA,309014,314235,322176,336681,350628
Caldwell County, KY,406304,407828,418095,425451,451716
Caldwell County, MO,301975,312698,328283,337362,351231
Caldwell County, TX,1262255,1296294,1363360,1427474,1511526
Caledonia County, VT,1169267,1179958,1199363,1233043,1293089
Calhoun County, WV,209427,199535,209323,217761,222009
Calhoun County, IL,180121,188095,199000,203117,205521
Calhoun County, TX,813956,789561,816004,939272,983763
Calhoun County, IA,446275,456700,451945,488868,524710
Calhoun County, MI,4970151,5065180,5153616,5249396,5400823
Calhoun County, SC,510612,523740,549788,577633,598650
Calhoun County, AL,3974840,4014894,4121206,4228930,4361788
Calhoun County, MS,423341,433078,447063,462741,480376
Calhoun County, GA,148952,149951,158707,155878,169514
Calhoun County, AR,165688,169136,172665,177855,185177
Calhoun County, FL,358174,362147,383429,401689,416462
Callahan County, TX,512515,508462,523992,559976,585075
Callaway County, MO,1548135,1590512,1655732,1674779,1749959
Calloway County, KY,1285159,1277868,1323707,1367908,1399275
Calumet County, WI,2254735,2315119,2441722,2557405,2647641
Calvert County, MD,5131940,5302953,5492210,5703309,5919336
Camas County, ID,48482,45112,45225,49518,52443
Cambria County, PA,5336100,5350984,5427092,5710818,5872588
Camden County, NJ,24807910,25466955,26267230,27211175,28251117
Camden County, MO,1549925,1586376,1671779,1703728,1775876
Camden County, GA,1710635,1771561,1852997,1934715,2032719
Camden County, NC,434425,448940,460202,480389,503860
Cameron County, TX,11172451,11427833,11662651,12216651,12664258
Cameron Parish, LA,288146,293386,323757,335750,341676
Cameron County, PA,211856,209397,210564,216550,211101
Camp County, TX,500327,467531,472187,485324,485926
Campbell County, WY,2622407,2298367,2315174,2479971,2564882
Campbell County, TN,1249639,1254153,1291299,1340175,1380726
Campbell County, KY,4032661,4139729,4333605,4537292,4716414
Campbell County, SD,66383,57684,60040,72786,66797
Canadian County, OK,5732745,5741058,6052767,6479653,6839336
Candler County, GA,306496,315166,335173,351919,369377
Cannon County, TN,459618,471579,493965,508689,538867
Canyon County, ID,6051034,6359123,6828033,7436916,7917288
Cape Girardeau County, MO,3264437,3334998,3435243,3547615,3687515
Cape May County, NJ,5089757,5250224,5403297,5571180,5773945
Carbon County, PA,2860331,3014350,3083657,3285885,3405025
Carbon County, UT,718016,703848,725962,795297,832424
Carbon County, MT,480695,493157,509273,539290,561683
Carbon County, WY,808155,786481,816017,854935,883035
Caribou County, ID,259002,265268,271889,282925,304284
Carlisle County, KY,195340,196104,196313,188961,204638
Carlton County, MN,1376626,1410499,1462303,1532854,1592350
Caroline County, MD,1363786,1401720,1482419,1521645,1566161
Caroline County, VA,1233799,1181582,1240314,1278286,1320477
Carroll County, IL,612117,643178,620742,637424,648615
Carroll County, NH,2463649,2577239,2752418,2853226,2942302
Carroll County, IN,755143,790848,819434,870683,879798
Carroll County, GA,3978789,4155889,4347474,4526290,4697292
Carroll County, MS,346572,359990,372334,377168,382928
Carroll County, OH,982480,976325,1029339,1068250,1098976
Carroll County, KY,421211,406636,366095,386233,401913
Carroll County, MO,378257,398856,395966,379842,429332
Carroll County, IA,1020790,1026714,1052429,1127244,1179280
Carroll County, MD,9493169,9796837,10151134,10466136,10829120
Carroll County, AR,844056,854344,904819,934263,937127
Carroll County, TN,941967,944484,972521,996107,1042068
Carson County, TX,256727,249815,261196,267282,287829
Carson City, NV,2460841,2478381,2648726,2804115,2933904
Carter County, TN,1763933,1789413,1861639,1909146,1956241
Carter County, KY,801103,787309,816566,828652,849808
Carter County, MT,64822,59141,50041,52732,52136
Carter County, MO,188018,190968,193307,192574,199620
Carter County, OK,1970100,1914401,1968470,2056808,2096578
Carteret County, NC,3089114,3226766,3265826,3432675,3583559
Carver County, MN,6377854,6581420,6984354,7378582,7655911
Cascade County, MT,3552956,3610915,3757683,3911977,4052262
Casey County, KY,466342,465009,475830,490308,512046
Cass County, NE,1168774,1209925,1269808,1343664,1402229
Cass County, IN,1344162,1368468,1419905,1481520,1533688
Cass County, IA,592989,577081,595784,623021,643760
Cass County, ND,9205143,9300453,9643967,10288873,10693894
Cass County, IL,480232,480397,491482,503427,509620
Cass County, MN,1225825,1280112,1337686,1385101,1428824
Cass County, MO,4293347,4549401,4677615,4853206,5067569
Cass County, MI,2011152,2114408,2210197,2310789,2351575
Cass County, TX,1042869,1038786,1052809,1101040,1127953
Cassia County, ID,1053605,1047810,1017434,1100494,1194579
Castro County, TX,563404,444920,482918,449065,485133
Caswell County, NC,722022,741311,760400,781645,817213
Catahoula Parish, LA,298709,299373,312491,317451,332638
Catawba County, NC,6297903,6555905,6874918,7132713,7397881
Catoosa County, GA,2138710,2184091,2267283,2371775,2459824
Catron County, NM,111091,108970,113936,116779,115917
Cattaraugus County, NY,2875478,2865337,3022809,3053379,3179730
Cavalier County, ND,216404,272504,218387,286156,245651
Cayuga County, NY,3020159,3053768,3197874,3255235,3409137
Cecil County, MD,4450729,4565285,4705576,4905949,5116896
Cedar County, MO,414949,411594,425097,435059,447805
Cedar County, IA,921355,925385,952113,1011110,1050925
Cedar County, NE,404633,390387,388270,417745,428431
Centre County, PA,6691308,6903061,7258779,7457920,7723642
Cerro Gordo County, IA,2259642,2213844,2150219,2223662,2303031
Chaffee County, CO,766588,813374,875557,957418,998171
Chambers County, AL,1078822,1103597,1110310,1155666,1193820
Chambers County, TX,1987528,2066380,2166000,2310597,2481633
Champaign County, IL,9216417,9071092,9156482,9361788,9638732
Champaign County, OH,1439583,1475843,1539139,1604779,1649955
Chariton County, MO,301459,310219,318414,317970,342758
Charles County, MD,8150233,8449879,8758981,9061892,9432032
Charles City County, VA,292029,300270,311835,316846,327091
Charles Mix County, SD,327570,326160,335335,374531,386240
Charleston County, SC,20959031,22173124,23670241,25019103,26289411
Charlevoix County, MI,1214135,1242649,1294813,1369169,1389142
Charlotte County, VA,400396,409804,418949,423976,436436
Charlotte County, FL,6605642,7022811,7311906,7725742,8083940
Charlton County, GA,295458,297118,310143,316620,335062
Chase County, KS,114918,118266,121673,135423,142679
Chase County, NE,232461,256561,216042,215387,241388
Chatham County, GA,12450864,12559811,13156196,13705825,13977718
Chatham County, NC,3811952,4105245,4294799,4616792,4826158
Chattahoochee County, GA,323614,302411,315849,315772,327883
Chattooga County, GA,707861,710534,743129,767244,782759
Chautauqua County, NY,4886582,4897541,5160420,5159076,5375002
Chautauqua County, KS,130877,127344,127188,134368,140812
Chaves County, NM,2398385,2397004,2482162,2548372,2697400
Cheatham County, TN,1553366,1634351,1708746,1790096,1876283
Cheboygan County, MI,901236,929962,961579,990515,1021272
Chelan County, WA,3570982,3779851,3981210,4189394,4342733
Chemung County, NY,3490161,3486483,3632530,3735959,3874102
Chenango County, NY,1850866,1869924,1960714,1993575,2083995
Cherokee County, AL,869402,861753,893500,937468,954378
Cherokee County, OK,1467353,1472266,1526828,1571072,1634061
Cherokee County, SC,1684455,1729581,1806028,1875854,1941041
Cherokee County, NC,816071,833165,865550,907936,955693
Cherokee County, TX,1683646,1710696,1735619,1820425,1855486
Cherokee County, IA,661851,653902,637303,700013,738442
Cherokee County, KS,699319,712075,751868,820247,854831
